Model,Confidence_Threshold,mAP@0.5,mAP@0.5:0.95,Recall@100,FPS,Speed_ms,Total_Detections,Total_GT,Avg_Confidence
YOLOv12,0.01,95.51175236701965,57.61792063713074,64.01234865188599,20.263219216800415,49.350500002037734,642,324,0.44101428985595703
YOLOv12,0.03,94.98758316040039,57.41203427314758,63.5185182094574,18.911542397074246,52.877759994589724,444,324,0.6304551362991333
YOLOv12,0.049999999999999996,94.98758316040039,57.285916805267334,63.425928354263306,19.892010255680475,50.271439997595735,402,324,0.6922310590744019
YOLOv12,0.06999999999999999,94.20154690742493,57.05665349960327,63.11728358268738,20.524638494214997,48.72193000046536,389,324,0.7134068608283997
YOLOv12,0.08999999999999998,94.20154690742493,57.05665349960327,63.11728358268738,20.40331643771615,49.011639997479506,377,324,0.7335241436958313
YOLOv12,0.10999999999999997,94.20154690742493,56.756287813186646,62.77777552604675,18.53769473271623,53.944140003295615,366,324,0.7526540160179138
YOLOv12,0.12999999999999998,94.20154690742493,56.756287813186646,62.77777552604675,17.63918240948065,56.691970000974834,357,324,0.768663227558136
YOLOv12,0.15,94.20154690742493,56.756287813186646,62.746912240982056,22.393527736312613,44.65575999347493,352,324,0.7776013016700745
YOLOv12,0.16999999999999998,94.20154690742493,56.756287813186646,62.746912240982056,20.26597470744407,49.34378999460023,352,324,0.7776013016700745
YOLOv12,0.18999999999999997,93.33521127700806,56.36352300643921,62.28395104408264,21.714720258217817,46.05170999711845,346,324,0.787953794002533
YOLOv12,0.20999999999999996,93.33521127700806,56.36352300643921,62.28395104408264,22.789243934103776,43.88034999719821,345,324,0.7896689772605896
YOLOv12,0.22999999999999998,92.45990514755249,56.27599358558655,62.253087759017944,19.960514108921384,50.0989100051811,340,324,0.7980257868766785
YOLOv12,0.24999999999999997,92.45990514755249,56.27599358558655,62.19135522842407,20.223015369614245,49.44860999821685,338,324,0.8013169169425964
YOLOv12,0.26999999999999996,92.45990514755249,56.27599358558655,62.19135522842407,19.482243781692254,51.32879001030233,335,324,0.8061544299125671
