Model,Confidence_Threshold,mAP@0.5,mAP@0.5:0.95,Recall@100,FPS,Speed_ms,Total_Detections,Total_GT,Avg_Confidence
YOLOv11,0.01,94.8716938495636,59.24409031867981,65.74074029922485,22.410244170656945,44.62245000031544,855,324,0.3293607532978058
YOLOv11,0.03,94.8716938495636,59.18884873390198,65.61728119850159,22.298494636271272,44.846076666241665,546,324,0.50633704662323
YOLOv11,0.049999999999999996,94.26119923591614,59.0692937374115,65.4321014881134,20.736217275825954,48.22480333314161,474,324,0.5772470831871033
YOLOv11,0.06999999999999999,94.26119923591614,59.0692937374115,65.4321014881134,18.564271426236203,53.86691333260387,437,324,0.6212833523750305
YOLOv11,0.08999999999999998,94.26119923591614,58.866333961486816,65.24691581726074,22.51053718227154,44.42364000036226,413,324,0.6528398990631104
YOLOv11,0.10999999999999997,94.26119923591614,58.866333961486816,65.24691581726074,22.44465372879747,44.55403999915385,397,324,0.6751312613487244
YOLOv11,0.12999999999999998,94.26119923591614,58.80601406097412,65.06173014640808,21.951663899539888,45.55463333332833,388,324,0.6879631876945496
YOLOv11,0.15,94.26119923591614,58.80601406097412,65.06173014640808,21.687865350231856,46.10873333319129,377,324,0.7039414048194885
YOLOv11,0.16999999999999998,94.26119923591614,58.80601406097412,65.06173014640808,22.46129862131988,44.521023332587596,372,324,0.7112678289413452
YOLOv11,0.18999999999999997,94.26119923591614,58.80601406097412,65.06173014640808,20.69415650861106,48.32281999915722,362,324,0.7259762287139893
YOLOv11,0.20999999999999996,94.26119923591614,58.80601406097412,65.06173014640808,22.44215030815221,44.5590099998905,359,324,0.7304272651672363
YOLOv11,0.22999999999999998,94.26119923591614,58.651530742645264,64.75308537483215,22.696383293488935,44.059883333344864,353,324,0.7390801906585693
YOLOv11,0.24999999999999997,93.38991045951843,58.33059549331665,64.5061731338501,22.72996760623609,43.99478333289153,346,324,0.7491790652275085
YOLOv11,0.26999999999999996,93.38991045951843,58.33059549331665,64.5061731338501,21.4595590314181,46.59928000085832,342,324,0.7549068331718445
YOLOv11,0.29,92.49619245529175,57.81550407409668,63.76543045043945,21.129339235621327,47.327556666520344,334,324,0.766254186630249
YOLOv11,0.30999999999999994,92.49619245529175,57.81550407409668,63.76543045043945,21.837769105882117,45.79222333341022,331,324,0.7704982161521912
YOLOv11,0.32999999999999996,92.49619245529175,57.74577260017395,63.58024477958679,21.196531484027126,47.177530000772094,327,324,0.7760255932807922
YOLOv11,0.35,91.57898426055908,57.490354776382446,63.425928354263306,22.33391329562722,44.77495666627268,325,324,0.7787412405014038
YOLOv11,0.36999999999999994,91.57898426055908,57.490354776382446,63.425928354263306,21.67938957783459,46.12675999984882,323,324,0.7813453674316406
YOLOv11,0.38999999999999996,91.57858490943909,57.25530982017517,62.962961196899414,21.22713351267208,47.10951666662974,320,324,0.7850882411003113
YOLOv11,0.4099999999999999,90.65346121788025,57.077401876449585,62.77777552604675,21.33493241036692,46.87148666635039,318,324,0.7875117063522339
YOLOv11,0.42999999999999994,90.65346121788025,56.81748390197754,62.5308632850647,21.890206168365744,45.68253000034019,315,324,0.7910497188568115
YOLOv11,0.44999999999999996,90.65346121788025,56.81748390197754,62.40741014480591,21.52923134964131,46.448476666895054,313,324,0.7933518886566162
YOLOv11,0.4699999999999999,90.65346121788025,56.81748390197754,62.40741014480591,18.649197590090008,53.62161000060345,313,324,0.7933518886566162
YOLOv11,0.48999999999999994,89.71731066703796,56.545490026474,62.253087759017944,20.34773740634202,49.14551333301157,311,324,0.7953866124153137
YOLOv11,0.5099999999999999,89.71731066703796,56.545490026474,62.253087759017944,21.32745036964978,46.887929999502376,311,324,0.7953866124153137
YOLOv11,0.5299999999999999,89.71731066703796,56.455713510513306,62.09876537322998,21.515109810711845,46.47896333311413,309,324,0.7971596717834473
YOLOv11,0.5499999999999999,88.77847790718079,56.02549910545349,61.666667461395264,21.568104741777884,46.3647599996572,304,324,0.8014359474182129
YOLOv11,0.57,88.77833485603333,55.93758821487427,61.450618505477905,22.183245438126978,45.079066667191604,302,324,0.8030348420143127
YOLOv11,0.59,87.83072233200073,55.65862059593201,61.14197373390198,21.720078149131552,46.04034999938449,299,324,0.805302083492279
YOLOv11,0.6099999999999999,86.880362033844,54.98649477958679,60.277777910232544,21.785071677849963,45.90299333358416,294,324,0.8088465929031372
YOLOv11,0.6299999999999999,85.9271764755249,54.50378656387329,59.72222089767456,21.30119182269451,46.94573000063732,291,324,0.8108159899711609
YOLOv11,0.6499999999999999,84.97450351715088,54.16830778121948,59.35184955596924,21.668303345468168,46.150360000804845,288,324,0.8126152753829956
YOLOv11,0.6699999999999999,84.97450351715088,53.78519296646118,58.76542925834656,21.72319694241973,46.033739999256795,284,324,0.8147587776184082
YOLOv11,0.69,83.04333686828613,52.60550379753113,57.376545667648315,22.087537327722917,45.27440000044104,275,324,0.81913822889328
YOLOv11,0.7099999999999999,80.12033700942993,51.24140381813049,56.01851940155029,21.241470487135647,47.07772000086455,265,324,0.8236156702041626
YOLOv11,0.7299999999999999,78.1623363494873,50.44270157814026,54.907405376434326,21.95533801200014,45.54701000063991,257,324,0.8268389105796814
YOLOv11,0.7499999999999999,75.21896362304688,48.93985986709595,53.30246686935425,22.694769347582653,44.06301666628375,247,324,0.830409586429596
YOLOv11,0.7699999999999999,70.29268741607666,46.48412764072418,50.339508056640625,21.54160175170332,46.421803333214484,228,324,0.8363760113716125
YOLOv11,0.7899999999999999,61.38613820075989,42.217618227005005,45.586419105529785,22.598556825884007,44.25061333361858,200,324,0.8443148732185364
